record.timestamp[s],record.distance[m],record.enhanced_altitude[m],record.unknown,record.heart_rate[bpm],record.cadence[rpm],record.temperature[C],record.fractional_cadence[rpm],record.developer.0.SensorHeading[rad],record.developer.0.SensorAccelerationX[mgn],record.developer.0.SensorAccelerationY[mgn],record.developer.0.SensorAccelerationZ[mgn],record.developer.0.SensorMagnetometerX[mG],record.developer.0.SensorMagnetometerY[mG],record.developer.0.SensorMagnetometerZ[mG],record.developer.0.SensorHeartrate[bpm],record.developer.0.SensorAccelerationX_HD[mgn],record.developer.0.SensorAccelerationY_HD[mgn],record.developer.0.SensorAccelerationZ_HD[mgn],
"1014732745","0.0","57.0","75","75","0","30","0.0","3.0688245","-132","157","-1042","-75","-207","-386","75",
"1014732746","0.0","57.0","75","75","0","30","0.0","2.9949923","-152","417","-614","-195","6","-392","75","-132|-44|-88|-196|-108|-128|-240|20|-144|-48|-140|-136|-96|-88|-116|-112|-92|-100|-80|-48|-72|-44|-60|-44|68","128|172|156|48|-24|-4|-68|112|136|100|172|160|112|160|164|148|124|104|188|244|252|332|320|264|260","-1020|-1036|-992|-948|-944|-856|-920|-1076|-1012|-1000|-992|-1016|-948|-1004|-988|-968|-968|-932|-960|-968|-960|-976|-960|-904|-924",
"1014732747","0.0","57.0","75","75","0","30","0.0","2.6907506","-128","446","-698","-134","-40","-406","75","-52|-32|-76|-96|-152|-176|-124|-116|-96|-148|-188|-156|-164|-216|-248|-300|-268|-276|-172|-72|-20|20|60|60|116","436|676|708|812|884|868|860|792|636|408|420|416|584|644|688|808|1144|660|344|444|292|648|656|432|480","-1000|-800|-764|-712|-728|-840|-764|-796|-772|-648|-572|-584|-772|-748|-588|-664|-1080|-1052|-848|-1008|-868|-744|-792|-868|-684",
"1014732748","0.0","57.0","75","75","0","30","0.0","2.7494032","-15","535","-900","-118","-1","-427","75","-12|-44|-52|-40|-132|-112|-60|32|144|404|108|-132|28|-24|-112|-200|-216|-128|-64|-16|-16|-32|-24|-28|-36","1036|1340|1080|1040|828|600|436|328|284|108|588|444|412|432|476|496|484|396|436|480|476|488|548|528|532","-772|-596|-560|-548|-460|-400|-440|-444|-1004|-1492|-1060|-668|-764|-972|-976|-1012|-1000|-880|-896|-908|-892|-880|-900|-860|-864",
"1014732749","0.0","57.0","75","75","0","30","0.0","2.7432754","-50","560","-872","-134","0","-421","75","-44|-52|-52|-52|-84|-68|-12|20|8|-16|-24|-32|-32|-32|-16|-20|-8|-12|-28|-20|-28|-32|-40|-40|-40","528|512|536|520|476|556|600|564|528|532|544|552|552|544|532|532|544|548|528|512|512|528|532|528|540","-868|-864|-856|-848|-816|-892|-892|-868|-872|-872|-884|-852|-856|-872|-872|-856|-872|-860|-860|-876|-884|-884|-872|-872|-872",
"1014732750","0.0","57.0","75","75","0","30","0.0","2.6454973","-42","568","-884","-149","18","-410","75","-52|-52|-44|-40|-20|-16|-20|-48|-52|-52|-52|-40|-52|-48|-48|-24|-36|-36|-40|-48|-52|-36|-40|-28|-36","544|524|520|532|512|540|548|552|552|556|548|544|548|544|528|548|524|540|544|560|556|544|548|552|548","-860|-856|-860|-868|-872|-876|-864|-860|-852|-844|-852|-852|-856|-876|-868|-868|-856|-860|-856|-848|-860|-848|-856|-864|-852",
"1014732751","0.0","56.799999999999955","75","75","0","30","0.0","2.6697588","-39","560","-884","-136","15","-420","75","-40|-40|-48|-60|-48|-48|-48|-36|-48|-44|-44|-56|-56|-60|-44|-44|-56|-56|-32|-32|-44|-40|-32|-60|-60","548|556|564|560|564|560|568|564|564|564|556|548|564|556|540|560|576|552|548|548|548|548|512|568|584","-852|-856|-848|-860|-852|-848|-848|-864|-840|-856|-856|-852|-856|-852|-844|-852|-860|-852|-876|-876|-864|-856|-868|-832|-844",
"1014732752","0.0","56.799999999999955","74","74","0","30","0.0","2.2094252","-179","1003","-563","-251","261","-265","74","-52|-52|-60|-72|-72|-88|-68|-64|-44|-40|-36|-40|-48|-48|-44|-40|-28|-44|-40|-40|-48|-52|-56|-60|-52","564|576|580|584|576|568|584|568|564|556|564|544|572|580|560|556|576|592|576|580|588|600|600|592|612","-852|-848|-836|-836|-832|-824|-840|-832|-844|-856|-856|-852|-840|-840|-848|-832|-840|-828|-844|-844|-840|-840|-828|-832|-848",
"1014732753","0.0","56.799999999999955","74","74","0","30","0.0","1.8612659","-792","43","-190","-421","-41","54","74","-36|20|16|-132|-168|-156|-184|-152|-88|-52|-36|-32|-56|-108|-120|-92|-156|-180|-252|-304|-392|-476|-412|-424|-476","588|540|656|792|852|948|992|1084|1092|1052|1072|1076|1068|1176|1236|1132|1188|1120|972|1040|908|772|588|216|20","-948|-964|-960|-740|-760|-672|-532|-600|-612|-548|-600|-612|-516|-592|-512|-380|-456|-280|-400|-544|-596|-640|-636|-536|-564",
"1014732754","0.0","56.799999999999955","74","74","0","30","0.0","-2.3294556","23","-1008","557","176","-352","283","74","-576|-636|-692|-696|-736|-768|-812|-860|-832|-828|-804|-756|-796|-768|-780|-752|-748|-700|-696|-584|-520|-632|-484|-396|-152","60|104|92|36|32|48|48|76|-16|-96|-216|-376|-488|-600|-544|-552|-780|-716|-356|-64|-412|-460|-388|-180|-444","-620|-640|-560|-444|-308|-224|-156|-160|-60|-64|-80|-60|92|324|388|440|356|472|268|-72|408|548|500|520|672",
"1014732755","0.0","57.0","74","74","0","30","0.0","-2.7197785","523","-386","839","261","88","410","74","-824|-220|-276|-268|-356|-60|24|0|96|164|168|476|116|-164|32|624|380|528|464|476|244|72|608|320|236","-428|-324|-792|-804|-996|-996|-988|-804|-1160|-1060|-876|-856|-764|-500|-196|-800|-684|-1288|-1072|56|-224|-96|-720|-52|40","748|680|532|552|764|860|600|452|460|84|652|344|380|824|432|396|640|640|1324|588|784|1056|836|864|952",
